Block	TrialType	Trial	Signal	Response	RT	SSD	keyDuration	keyDuration_startSyched	keyRT	feedback_ms	vert	feedback_synched
2	main	143	1	1	0.7667945280009008	1	0.7801226740011771	0.7658168300004036	-0.014305844000773504	34.18316999959647	4.011604599998245	33.20547199909929
2	main	144	1	1	0.8161597239995899	1	0.8243879229994491	0.8131513139996969	-0.011236608999752207	13.151313999696823	4.752220419993828	16.159723999589872
2	main	145	1	1	0.8175206300002174	1	0.8272263930011832	0.8111764400018728	-0.016049952999310335	11.17644000187279	4.772590900008945	17.52063000021731
2	main	146	0	0	NaN	0.5750000000000001	0.8272263930011832	0.8111764400018728	-0.016049952999310335	11.17644000187279	1.1350000000000016	17.52063000021731
2	main	147	1	1	0.8180402450016118	1	0.8242239779974625	0.8071663379996608	-0.017057639997801743	7.16633799966071	4.780394320021296	18.040245001611723
2	main	148	1	1	0.8007819249978638	1	0.8042644729976018	0.7932621099971584	-0.011002363000443438	6.73789000284164	4.52153140000315	0.781924997863781
2	main	149	0	1	0.8509538780017465	0.6000000000000001	0.8682663920008054	0.8416637549998995	-0.026602637000905816	6.73789000284164	1.5100000000000016	0.781924997863781
2	main	150	1	1	0.8345073980017332	1	0.8482348839970655	0.8291637549991719	-0.01907112899789354	29.1637549991719	5.027386000017723	34.50739800173319
2	main	151	1	1	0.849605198000063	1	0.8722198060022492	0.8491648030030774	-0.023055002999171847	49.16480300307735	5.253815320009162	49.60519800006291
2	main	152	0	1	0.7846815859993512	0.5750000000000001	0.7882773260025715	0.7772547060012585	-0.011022620001313044	49.16480300307735	1.1350000000000016	49.60519800006291
2	main	153	1	1	0.8006610840020585	1	0.8133802650008874	0.798870242000703	-0.014510023000184447	1.129757999297043	4.519606584997527	0.661084002058443
2	main	154	1	1	0.8340648949997558	1	0.8434056240002974	0.8288226020013099	-0.014583021998987533	28.822602001309818	5.0207696500163	34.06489499975574
2	main	155	1	1	0.8341380219972052	1	0.8362633680008003	0.8231481719994918	-0.013115196001308504	23.14817199949171	5.021866329987242	34.13802199720517
2	main	156	0	0	NaN	0.55	0.8362633680008003	0.8231481719994918	-0.013115196001308504	23.14817199949171	0.7599999999999998	34.13802199720517
2	main	157	1	1	0.7844727750016318	1	0.7881605270013097	0.770915312001307	-0.017245215000002645	29.084687998693013	4.2768782799955805	15.527224998368228
2	main	158	1	1	0.8504897079983493	1	0.860387766999338	0.8417187279992504	-0.01866903900008765	41.71872799925036	5.267128449993615	50.48970799834929
2	main	159	1	1	0.8166150799988827	1	0.8190656820006552	0.8091027730006317	-0.009962909000023501	9.10277300063167	4.7590251999806785	16.615079998882678
2	main	160	1	1	0.784354096998868	1	0.8043454030012072	0.7791666800003441	-0.0251787230008631	20.833319999655984	4.275101305009011	15.645903001132
2	main	161	1	1	0.8015282369997294	1	0.8122814849994029	0.7939743850001832	-0.018307099999219645	6.025614999816797	4.532713480000675	1.528236999729371
2	main	162	1	1	0.8165642479980306	1	0.8281468599998334	0.8150238369998988	-0.01312302299993462	15.023836999898732	4.758308544967585	16.56424799803058
2	main	163	0	0	NaN	0.5750000000000001	0.8281468599998334	0.8150238369998988	-0.01312302299993462	15.023836999898732	1.1350000000000016	16.56424799803058
